0	0
0.000506849	66.9087
0.000899543	123.654
0.00146575	198.185
0.00202283	271.869
0.00265297	348.094
0.00332877	423.472
0.00399543	489.534
0.00462557	543.739
0.00517352	581.004
0.00549315	597.943
0.00565753	603.872
0.00577626	607.26
0.00588584	605.566
0.00597945	601.543
0.00602397	595.191
0.00606164	588.203
0.00610959	576.77
0.00618151	541.833
0.00639726	444.011
0.00659247	352.541
0.00678425	260.753
0.00690753	195.644
0.00698973	145.145
0.00708904	46.0526
0.00710274	35.8893
0.00720205	1.58802
0.0072089	0
